Stock,Sector,Month,PriceStart,PriceEnd
BABA,Retail,2025-06,2753,2587
JPM,Finance,2025-03,3466,3561
WMT,Staples,2025-04,459,541
BABA,Retail,2025-02,94,439
JPM,Finance,2025-05,1209,1624
JPM,Finance,2025-03,3466,3561
MSFT,Tech,2025-04,2493,2247
TSLA,Auto,2025-03,3652,3445
MSFT,Tech,2025-06,624,869
TSLA,Auto,2025-05,2704,3164
MSFT,Tech,2025-02,4186,4388
BABA,Retail,2025-05,2388,2448
BABA,Retail,2025-03,2102,1873
BAJAJ-AUTO,Auto,2025-01,336,245
RELIANCE,Energy,2025-05,1576,1461
TSLA,Auto,2025-04,4223,4329
JPM,Finance,2025-03,3466,3561
JPM,Finance,2025-03,3466,3561
BAJAJ-AUTO,Auto,2025-06,2864,3098
TSLA,Auto,2025-02,1878,1861
WMT,Staples,2025-05,703,1263
RELIANCE,Energy,2025-03,4926,5358
RELIANCE,Energy,2025-03,4926,5358
WMT,Staples,2025-05,703,1263
RELIANCE,Energy,2025-06,2462,2394
RELIANCE,Energy,2025-02,2760,2983
MSFT,Tech,2025-02,4186,4388
RELIANCE,Energy,2025-02,2760,2983
BABA,Retail,2025-05,2388,2448
MSFT,Tech,2025-01,1147,1103
JPM,Finance,2025-03,3466,3561
WMT,Staples,2025-02,3176,2953
MSFT,Tech,2025-06,624,869
BAJAJ-AUTO,Auto,2025-05,4526,4648
JPM,Finance,2025-02,680,451
AAPL,Tech,2025-04,1230,1663
MSFT,Tech,2025-05,3466,3529
MSFT,Tech,2025-06,624,869
WMT,Staples,2025-02,3176,2953
TSLA,Auto,2025-02,1878,1861
BAJAJ-AUTO,Auto,2025-04,4347,4803
BABA,Retail,2025-01,2860,3424
TCS,Tech,2025-05,964,1199
BABA,Retail,2025-03,2102,1873
MSFT,Tech,2025-05,3466,3529
TCS,Tech,2025-02,4893,5458
MSFT,Tech,2025-01,1147,1103
MSFT,Tech,2025-06,624,869
TSLA,Auto,2025-01,139,491
AAPL,Tech,2025-04,1230,1663
WMT,Staples,2025-02,3176,2953
WMT,Staples,2025-06,1416,1914
BAJAJ-AUTO,Auto,2025-03,4817,4874
TCS,Tech,2025-02,4893,5458
WMT,Staples,2025-05,703,1263
TSLA,Auto,2025-01,139,491
WMT,Staples,2025-04,459,541
JPM,Finance,2025-03,3466,3561
BAJAJ-AUTO,Auto,2025-06,2864,3098
MSFT,Tech,2025-02,4186,4388
MSFT,Tech,2025-06,624,869
BAJAJ-AUTO,Auto,2025-01,336,245
JPM,Finance,2025-06,846,1347
TCS,Tech,2025-04,4107,4520
MSFT,Tech,2025-01,1147,1103
WMT,Staples,2025-03,4159,4614
JPM,Finance,2025-01,3652,3816
TSLA,Auto,2025-01,139,491
JPM,Finance,2025-06,846,1347
BABA,Retail,2025-04,1892,1956
WMT,Staples,2025-03,4159,4614
TCS,Tech,2025-01,3676,4125
BABA,Retail,2025-01,2860,3424
AAPL,Tech,2025-04,1230,1663
TSLA,Auto,2025-01,139,491
MSFT,Tech,2025-01,1147,1103
RELIANCE,Energy,2025-06,2462,2394
HDFC,Finance,2025-05,3538,3575
TSLA,Auto,2025-05,2704,3164
WMT,Staples,2025-03,4159,4614
AAPL,Tech,2025-05,1570,2151
JPM,Finance,2025-04,1731,1861
MSFT,Tech,2025-06,624,869
MSFT,Tech,2025-03,4502,4441
MSFT,Tech,2025-01,1147,1103
JPM,Finance,2025-03,3466,3561
WMT,Staples,2025-04,459,541
TSLA,Auto,2025-01,139,491
WMT,Staples,2025-03,4159,4614
HDFC,Finance,2025-04,3175,3241
MSFT,Tech,2025-05,3466,3529
TCS,Tech,2025-01,3676,4125
BABA,Retail,2025-04,1892,1956
TSLA,Auto,2025-04,4223,4329
HDFC,Finance,2025-03,4931,5321
WMT,Staples,2025-06,1416,1914
RELIANCE,Energy,2025-05,1576,1461
TSLA,Auto,2025-01,139,491
TCS,Tech,2025-01,3676,4125
TSLA,Auto,2025-03,3652,3445
BAJAJ-AUTO,Auto,2025-06,2864,3098
BABA,Retail,2025-01,2860,3424
RELIANCE,Energy,2025-01,1320,1617
MSFT,Tech,2025-03,4502,4441
BAJAJ-AUTO,Auto,2025-01,336,245
HDFC,Finance,2025-01,1412,1736
TSLA,Auto,2025-02,1878,1861
HDFC,Finance,2025-05,3538,3575
HDFC,Finance,2025-01,1412,1736
BABA,Retail,2025-02,94,439
HDFC,Finance,2025-06,4414,4612
MSFT,Tech,2025-05,3466,3529
RELIANCE,Energy,2025-03,4926,5358
MSFT,Tech,2025-04,2493,2247
TSLA,Auto,2025-06,4541,4909
HDFC,Finance,2025-05,3538,3575
BABA,Retail,2025-03,2102,1873
WMT,Staples,2025-01,1024,1413
WMT,Staples,2025-03,4159,4614
BABA,Retail,2025-02,94,439
BAJAJ-AUTO,Auto,2025-01,336,245
WMT,Staples,2025-06,1416,1914
MSFT,Tech,2025-04,2493,2247
JPM,Finance,2025-04,1731,1861
RELIANCE,Energy,2025-03,4926,5358
TCS,Tech,2025-01,3676,4125
RELIANCE,Energy,2025-04,4626,4388
RELIANCE,Energy,2025-06,2462,2394
TSLA,Auto,2025-06,4541,4909
BAJAJ-AUTO,Auto,2025-01,336,245
MSFT,Tech,2025-04,2493,2247
WMT,Staples,2025-03,4159,4614
BABA,Retail,2025-02,94,439
BAJAJ-AUTO,Auto,2025-03,4817,4874
BAJAJ-AUTO,Auto,2025-03,4817,4874
